,RAW DATA
555,other nonrelational DBs
556,MongoDB
557,concurrency
558,parallel work streams
559,Agile practices
560,Debugging/Troubleshooting functional and technical issues
561,Performance/Optimization techniques
562,proactively codes
563,"Excellent analytical, quantitative, and problemsolving abilities"
564,algorithms
565,minimal oversight
566,multiple concurrent priorities
567,fastpaced environment
568,Strong interpersonal
569,Utilizes knowledge
570,Xamarin
571,Transforms business requirements
572,technical specifications
573,DevOps model
574,debug
575,Generating testing and test cases
576,uniformity
577,Architects
578,various prototypes
579,Bachelor degree
580,LINQ
581,Rest APIs
582,Xamarin Forms
583,Xamarin Native development
584,"Xamarin iOS, Xamarin Droid"
585,Xamarin Studio
586,Xamarin
587,both Apple iOS and Android platforms
588,Xamarin Apps
589,UWP
590,XAML
591,Azure integrations
592,Azure Active Directory
593,Notifications
594,HockeyApp/Visual Studio App Center
595,Continuous Integration
596,
597,DevOps
598,Automation Testing
599,Xamarin
600,Xamarin Profiler
601,Various code repositories
602,Git
603,TFS
604,MVVM Architecture
605,Agile methodology
606,VSTS
607,Overall Cross Platform app development ecosystem
608,lifecycle
609,roadmaps
610,Portable Class Library
611,PCL
612,SQLite
613,crossplatform design
614,Xamarin Binding
615,SAP HANA REST API Integration
616,Xamarin
617,Xamarin Forms
618,Core Java
619,Swift / XCode
620,fastpaced complex environment
621,selfmotivated work ethic
622,urgency
623,Willingness
624,all relevant SOPs
625,servicesIntegrate Highspot
626,external APIs
627,CRM
628,CMS
629,"clean, reusable, supportable, and welltested RESTful APIs"
630,Highspot external API
631,Highspot Salesforce integrations
632,functionality
633,
634,
635,maintainable and testable code
636,internal and external technical documentation
637,Proficiency
638,APIs
639,data formats
640,data transformations
641,scalable internet software
642,objectoriented and functional design patterns
643,Highspot Infrastructure Platform crew
644,other feature crews
645,DevOps
646,frameworks
647,Highspot
648,highlyscalable and reliable infrastructure
649,other engineering crews
650,highlyavailability distributed services
651,observability
652,shared frameworks
653,caches
654,indexes
655,frameworks
656,
657,Highspot feature engineering crews
658,well with DevOps/SiteReliability
659,maintainable and testable code
660,internal and external technical documentation
661,Proficiency
662,cloud computing
663,containerization
664,Kubernetes
665,scalable internet software
666,objectoriented and functional design patterns
667,Clojure
668,Angular
669,Vue
670,APIs
671,emerging frameworks
672,architectural patterns
673,Node
674,Typescript
675,industry leading cloud providers
676,AWS
677,Azure
678,GCP
679,Operational efficiencies
680,modern ecosystems
681,automated build and deployment pipelines
682,Collaborative build practices
683,collaborative product engineering team
684,velocity multiplier
685,the refinement
686,the entire software stack
687,API
688,components
689,the norms
690,other software development capabilities
691,agile techniques
692,oversight
693,the project roadmap
694,emerging technologies
695,frameworks
696,cloudbased ecosystems
697,proven validation techniques
698,scripts
699,routines
700,production environments
701,Angular
702,Vue
703,APIs
704,emerging frameworks
705,architectural patterns
706,Node
707,Typescript
708,industry leading cloud providers
709,AWS
710,Azure
711,GCP
712,Operational efficiencies
713,modern ecosystems
714,automated build and deployment pipelines
715,Collaborative build practices
716,collaborative product engineering team
717,the refinement
718,other talented software engineers
719,architects
720,the entire software stack
721,API
722,components
723,the norms
724,emerging technologies
725,frameworks
726,cloudbased ecosystems
727,other software development capabilities
728,agile techniques
729,proven validation techniques
730,scripts
731,routines
732,production environments
733,Angular
734,Vue
735,APIs
736,emerging frameworks
737,architectural patterns
738,Node
739,Typescript
740,industry leading cloud providers
741,AWS
742,Azure
743,GCP
744,Operational efficiencies
745,modern ecosystems
746,automated build and deployment pipelines
747,Collaborative build practices
748,collaborative product engineering team
749,velocity multiplier
750,the refinement
751,the entire software stack
752,API
753,components
754,the norms
755,other software development capabilities
756,agile techniques
757,oversight
758,the project roadmap
759,emerging technologies
760,frameworks
761,cloudbased ecosystems
762,proven validation techniques
763,scripts
764,routines
765,production environments
766,Automated analysis
767,
768,Data annotation
769,robust code
770,biotechnology
771,Python
772,cloud computing
773,automated analysis
774,annotation
775,advanced display and data manipulation
776,strong Python coding skills
777,great back catalogue
778,homebrew projects
779,documentation
780,your sleeves
781,Degree qualification
782,Python
783,Ideally some exposure
784,genomic file formats
785,product enhancements
786,Workplace Search
787,Elasticsearch
788,Kibana
789,mentor
790,international teammates
791,"mostly textbased, asynchronous, remotefirst team environment"
792,yearly conferences
793,constructive feedback
794,the team overall technical strategy
795,product roadmap
796,technical deliverables
797,important and communicative part
798,engaged and spirited team
799,all support and escalations tickets
800,workarounds
801,promptly followup
802,DevOPS
803,Selfstarter
804,"highpressure, fastpaced, fast growth environment"
805,knowledge base entries
806,the Support Portal
807,SLA
808,timely manner
809,Strong TCP/ knowledge
810,Proxies
811,Firewalls
812,SSL/IPSec
813,VPN
814,SSO
815,Familiarity
816,DLP and Encryption gateways
817,Demonstrable experience
818,configuration
819,UNIX/Linux
820,Windows based systems
821,prior Active Directory/LDAP experience
822,various scenarios
823,tcpdump
824,protocols
825,TCP/
826,DNS
827,DHCP
828,Familiarity
829,Strong empathy
830,Interpersonal Skills
831,Zendesk
832,other support portal tools
833,Bachelors Masters degree
834,all support and escalations tickets
835,workarounds
836,promptly followup
837,DevOPS
838,Selfstarter
839,"highpressure, fastpaced, fast growth environment"
840,knowledge base entries
841,the Support Portal
842,SLA
843,timely manner
844,Strong TCP/ knowledge
845,Proxies
846,Firewalls
847,SSL/IPSec
848,VPN
849,SSO
850,Familiarity
851,DLP and Encryption gateways
852,Demonstrable experience
853,configuration
854,UNIX/Linux
855,Windows based systems
856,prior Active Directory/LDAP experience
857,various scenarios
858,tcpdump
859,protocols
860,TCP/
861,DNS
862,DHCP
863,Familiarity
864,Strong empathy
865,Interpersonal Skills
866,Zendesk
867,other support portal tools
868,Bachelors Masters degree
869,billions
870,Excellent grasp
871,Python
872,advanced SQL
873,MLOps processes
874,tooling
875,production and debugging complex systems
876,their mathematical concepts
877,sklearn
878,SparkML
879,pandas
880,NumPy
881,similar packages
882,deep learning packages
883,Tensorflow
884,PyTorch
885,Keras
886,Spark
887,Elasticsearch
888,Kubernetes
889,Familiarity
890,AWS
891,automation technologies
892,Kubernetes
893,Jenkins
894,GNN
895,
896,Recommender Systems
897,NLP techniques
898,embeddings
899,attention mechanisms
900,Familiarity
901,the information/cyber security domain
902,the underlying mathematical models
903,exploratory data analysis
904,algorithms
905,synthetic data sets
906,statistical and machine learning models
907,efficacy
908,Analyzes
909,debugs
910,software enhancements
911,"local, networked, Internetrelated computer programs"
912,debugging
913,documentation
914,necessary modifications
915,reviews product/project deliverables
916,the life cycle methodologies
917,impact assessments
918,external internal specifications
919,manuals
920,test plans
921,scripts
922,the ACI Code
923,troubleshooting
924,Bachelor degree
925,years professional Java development experience
926,SDLC
927,Agile
928,the following development languages / frameworks / tools
929,Microservices architecture
930,containers
931,orchestration tools
932,Azure
933,docker
934,Kubernetes
935,OpenShift
936,cluster
937,microservices deployment
938,other frameworks/tools
939,Nginx/Ingres
940,API Gateway
941,Service Mesh
942,Istio
943,sensitive data encryption
944,HashiCorp/HSM integration
945,the following code versioning
946,Git
947,TortoiseGit / Sourcetree
948,BitBucket
949,JIRA
950,testing frameworks
951,Junit
952,Mockito
953,Application Servers
954,JBoss
955,WebSphere
956,Tomcat
957,Database Servers
958,PostgreSQL
959,Oracle
960,MSSQL
961,Linux
962,Object Oriented Programming knowledge
963,shell scripting
964,JAXB
965,Apache Commons
966,Apache POI
967,Eclipse / STS
968,XML
969,XSD
970,Apache Ant
971,Linux bash scripting
972,SQL
973,DDL
974,DML
975,JDBC
976,liquibase
977,Java Message Service
978,JMS
979,our preferred technology stack
980,Primarily Elixir/Phoenix
981,LiveView
982,Ruby
983,Rails
984,modern JavaScript
985,amazing GraphQL
986,RESTful APIs
987,our backend service teams
988,modern JavaScript technologies
989,collaborative agile/scrum environment
990,strong competencies
991,algorithms
992,software craftsmanship
993,API development
994,Ruby
995,Rails
996,Sinatra
997,Django
998,Node
999,Git
1000,GitHub
1001,strong grasp
1002,relational databases
1003,PostgreSQL
1004,MySQL
1005,Exq
1006,Sidekiq
1007,Celery
1008,Beanstalk
1009,RabbitMQ
1010,Kafka
1011,testing frameworks
1012,ExUnit
1013,RSpec
1014,Jest
1015,pytest
1016,profiling tools
1017,familiarity
1018,caching strategies
1019,third party APIs
1020,Elixir
1021,GraphQL APIs
1022,Absinthe
1023,GraphQL
1024,subscriptions
1025,GCP
1026,Kubernetes
1027,JavaScript SSR
1028,startups
1029,esports
1030,our preferred technology stack
1031,Primarily Elixir/Phoenix
1032,LiveView
1033,Ruby
1034,Rails
1035,amazing GraphQL
1036,RESTful APIs
1037,our backend service teams
1038,Willingness
1039,modern JavaScript technologies
1040,collaborative agile/scrum environment
1041,strong competencies
1042,algorithms
1043,software craftsmanship
1044,API development
1045,Ruby
1046,Rails
1047,Sinatra
1048,Django
1049,Node
1050,Git
1051,GitHub
1052,strong grasp
1053,relational databases
1054,PostgreSQL
1055,MySql
1056,Exq
1057,Sidekiq
1058,Celery
1059,Beanstalk
1060,Kafka
1061,RabbitMQ
1062,testing frameworks
1063,ExUnit
1064,RSpec
1065,Jest
1066,pytest
1067,profiling tools
1068,familiarity
1069,caching strategies
1070,third party APIs
1071,Elixir
1072,GraphQL APIs
1073,Absinthe
1074,GraphQL
1075,subscriptions
1076,GCP
1077,Kubernetes
1078,JavaScript SSR
1079,startups
1080,esports
1081,our preferred technology stack
1082,Primarily Elixir/Phoenix/LiveView
1083,Ruby
1084,Rails
1085,modern JavaScript
1086,amazing GraphQL
1087,RESTful APIs
1088,our backend service teams
1089,modern JavaScript technologies
1090,collaborative agile/scrum environment
1091,strong competencies
1092,algorithms
1093,software craftsmanship
1094,API development
1095,Ruby
1096,Rails
1097,Sinatra
1098,Django
1099,Node
1100,Git
1101,GitHub
1102,strong grasp
1103,relational databases
1104,PostgreSQL
1105,MySQL
1106,Exq
1107,Sidekiq
1108,Celery
1109,Beanstalk
1110,RabbitMQ
1111,Kafka
1112,testing frameworks
1113,ExUnit
1114,RSpec
1115,Jest
1116,pytest
1117,profiling tools
1118,familiarity
1119,caching strategies
1120,third party APIs
1121,Elixir
1122,GraphQL APIs
1123,Absinthe
1124,GraphQL
1125,subscriptions
1126,GCP
1127,Kubernetes
1128,JavaScript SSR
1129,startups
1130,esports
1131,our preferred technology stack
1132,Primarily Elixir/Phoenix
1133,LiveView
1134,Ruby
1135,Rails
1136,amazing GraphQL
1137,RESTful APIs
1138,our backend service teams
1139,Willingness
1140,modern JavaScript technologies
1141,collaborative agile/scrum environment
1142,strong competencies
1143,algorithms
1144,software craftsmanship
1145,API development
1146,Ruby
1147,Rails
1148,Sinatra
1149,Django
1150,Node
1151,Git
1152,GitHub
1153,strong grasp
1154,relational databases
1155,PostgreSQL
1156,MySql
1157,Exq
1158,Sidekiq
1159,Celery
1160,Beanstalk
1161,Kafka
1162,RabbitMQ
1163,testing frameworks
1164,ExUnit
1165,RSpec
1166,Jest
1167,pytest
1168,profiling tools
1169,familiarity
1170,caching strategies
1171,third party APIs
1172,Elixir
1173,GraphQL APIs
1174,Absinthe
1175,GraphQL
1176,subscriptions
1177,GCP
1178,Kubernetes
1179,JavaScript SSR
1180,startups
1181,esports
1182,new analytics products
1183,our existing Java
1184,Deployment
1185,configuration
1186,backend systems
1187,RESTful webservices
1188,SQL
1189,relational databases
1190,Postgres
1191,MySQL
1192,columnar and/ timeseries databases
1193,"ClickHouse, Druid"
1194,InfluxDB
1195,Prometheus
1196,cohesive team
1197,"verbally, documentation"
1198,frameworks
1199,Kubernetes
1200,Kafka
1201,programming tasks
1202,mastery
1203,reusable design patterns
1204,strong Java script skills
1205,ReactJS
1206,changes
1207,design specifications
1208,coordination
1209,Team
1210,
1211,
1212,complete frontend stack
1213,HTML/CSS/SASS
1214,JavaScript
1215,frontend 
1216,backend services
1217,responsive web pages
1218,HTML5
1219,CSS
1220,frameworks
1221,Bachelor degree
1222,both custom web/mobile application development commercial software systems implementations
1223,multiple technical disciplines
1224,
1225,devops
1226,modern highly responsive webbased user interface
1227,React 
1228,Redux
1229,HTML
1230,modular CSS
1231,JavaScript
1232,Familiarity
1233,REST APIs
1234,deep integrations
1235,automated testing suites
1236,Jest
1237,Mocha
1238,teams
1239,amazing and intuitive experiences
1240,tools
1241,Jenkins
1242,DevOps Deployment process
1243,documentation
1244,BDD/TDD
1245,Mentor junior engineers
1246,Familiarity
1247,the Flux Design Pattern
1248,Mocha
1249,Karma
1250,Jest
1251,BDD Experience
1252,RESTFUL API
1253,reliability
1254,game reliability issues
1255,frontline dev
1256,Final Gatekeeper
1257,hotfixes
1258,service outages
1259,GCP
1260,AWS
1261,JavaScript
1262,Scripting
1263,Bash
1264,Python
1265,Ruby
1266,Grafana
1267,NewRelic
1268,InfluxDB
1269,Prometheus
1270,Stackdriver
1271,Sumo Logic
1272,CloudWatch
1273,distributed Database systems
1274,MongoDB
1275,
1276,Docker
1277,Kubernetes
1278,RESTful API system
1279,Git
1280,Perforce
1281,performance profiling
1282,nodejs
1283,stakeholders
1284,highly complex user interfaces
1285,Android java
1286,Android Kotlin
1287,specialized software engineering experience
1288,Buck/Bazel
1289,"welldesigned, testable, efficient, secure code"
1290,diverse scope
1291,identifiable factors
1292,precedent
1293,continuous integration
1294,deployment
1295,Mentor new and junior team members
1296,Golang
1297,equivalent advanced objectoriented language
1298,Excellent communication and interpersonal skills
1299,Backend development experience
1300,"scalable, high availability services"
1301,AWS technologies
1302,Python
1303,Docker
1304,Kubernetes
1305,Kafka
1306,Building low latency
1307,scalable platform
1308,REST/GraphQL
1309,applicationappropriate persistence systems
1310,SQL/NoSQL Databases
1311,robustness
1312,scalability
1313,Automation
1314,build and deployment processes
1315,timely resolution
1316,infrastructure incidents
1317,AWS/Azure/GCP
1318,Microservices
1319,Micronaut
1320,Quarkus
1321,lowlatency systems
1322,NoSQL Databases
1323,Event Brokers
1324,Kafka
1325,API Gateway
1326,FaaS
1327,Lambdas/GCP Functions
1328,bugfixes
1329,the Terraform community
1330,open source contributors
1331,plugins
1332,the Terraform ecosystem
1333,architectures
1334,the Terraform CLI
1335,core APIs
1336,seamless experience
1337,Terraform open source and commercial offerings
1338,infrastructure automation tooling
1339,HashiCorp customers
1340,the larger Terraform community
1341,the full lifecycle
1342,Golang
1343,mentorship
1344,"large, complex codebases"
1345,Terraform practitioner
1346,the programing language
1347,curiosity
1348,PhD
1349,techniques
1350,frameworks
1351,data discretization
1352,normalization
1353,sampling
1354,linear regression
1355,SVMs
1356,deep neural networks
1357,Familiarity
1358,one more deep learning software frameworks
1359,Tensorflow
1360,PyTorch
1361,Entrepreneurial and positive attitude
1362,Fortune 500 companies
1363,Bachelor degree
1364,Networking
1365,accredited university
1366,Networking
1367,HTTPS/SSL
1368,"VLANs, TCP/"
1369,DNS
1370,NAT devices
1371,DHCP servers
1372,Firewalls
1373,written and verbal English communication skills
1374,ever evolving workplace
1375,Genuine excitement
1376,IoT
1377,Industry certifications
1378,plus AWS
1379,CCNA
1380,CCDA
1381,CCNP
1382,MCSE
1383,CEH
1384,Microsoft Azure
1385,CISSP
1386,CSP
1387,API
1388,Python
1389,other coding languages
1390,Linux systems
1391,previous startup experience
1392,information retrieval
1393,other quantitative discipline
1394,Good theoretical grounding
1395,different operating constraints
1396,techniques
1397,frameworks
1398,data discretization
1399,normalization
1400,sampling
1401,linear regression
1402,deep neural networks
1403,bandits
1404,reinforcement learning
1405,intuition
1406,new problem domains
1407,Excellent stakeholder communication
1408,Familiarity
1409,one more software frameworks
1410,Tensorflow
1411,PyTorch
1412,haves
1413,Hadoop
1414,Natural Language ProcessingContent Context UnderstandingRecommender SystemsGraph / Geometric Deep LearningModel
1415,learningPrediction / Inference
1416,customizations
1417,evolving business needs
1418,NetSuite
1419,Netsuite ERP Implementation
1420,system integrations
1421,Avalara
1422,payment processors
1423,bank electronic fund transfers
1424,CRM
1425,homegrown systems
1426,Billing
1427,stakeholders
1428,scalable solutions
1429,enhancement requests
1430,the smooth functioning
1431,stakeholders
1432,validation
1433,new and existing configurations
1434,scalability
1435,existing suboptimal features
1436,completeness
1437,documentation
1438,ERP
1439,Oracle
1440,NetSuite
1441,automation
1442,system optimizations
1443,NetSuite ERP experience
1444,fundamental system integration concepts
1445,production integrations
1446,ERP and 3rd party systems
1447,Salesforcecom
1448,payment processors
1449,SQL
1450,Javascript
1451,Unix scripts tool set
1452,SuiteScript
1453,SuiteFlows
1454,Web Services/SuiteTalk
1455,user provisioning
1456,analytics and scheduling scripts
1457,multientity environments
1458,deadlines
1459,delays
1460,ambiguous requirements
1461,Exceptional communicator
1462,SaaS
1463,usage/consumptionbased business
1464,NetSuite Administrator Certification
1465,Bachelors masters degree
1466,ERP implementation experience
1467,customer delight
1468,threading/concurrency
1469,networking
1470,automated testing
1471,Proficiency
1472,Golang
1473,Python
1474,standard methodologies
1475,Willingness
1476,other specialists
1477,high throughput systems
1478,large scale interactive communications platforms
1479,our API gateways
1480,service scalability
1481,reliability
1482,Excellent JavaScript development skills
1483,Nodejs ecosystem
1484,message queues
1485,RESTful APIs
1486,Cloud environments
1487,React web app development
1488,UIs
1489,Experience building API gateways
1490,technology
1491,workflows
1492,Realtime / applications
1493,Mentor
1494,standard methodology solutions
1495,TPM
1496,tasking
1497,cloud workspace
1498,pipeline automation/orchestration
1499,container management
1500,Proven programming skills
1501,all phases
1502,cloud drive / cloud workspaces
1503,reliability
1504,GCP
1505,AWS
1506,Azure
1507,Golang
1508,Nodejs
1509,Postgres
1510,GCP
1511,Kubernetes
1512,the latest iOS/Swift trends
1513,"expressive, readable, composable, and testable Swift code"
1514,iOS provisioning profiles
1515,certificates
1516,Demonstrable understanding
1517,the iOS application view lifecycles
1518,functional reactive programming
1519,Observance
1520,Clean architectural and coding principles
1521,Good problemsolving skills
1522,Excellent verbal communication skills
1523,Willingness
1524,constructive criticism
1525,maturity
1526,newlylearned knowledge/patterns
1527,Kotlin Multiplatform Experience
1528,Mobile Automation Testing
1529,Fastlane
1530,workflows
1531,live iOS/Cocoa applications
1532,SwiftUI
1533,Familiarity
1534,debugging
